,estimated_frequency
Strep_C10724,0.11136757272179186
Strep_C10725,0.11136757272179186
Strep_C10726,0.99999999
Strep_C10727,0.99999999
Strep_C10728,0.22283322077504625
Strep_C10729,0.99999999
Strep_C1072,0.11136757272179186
Strep_C10730,0.23305302815717163
Strep_C10731,0.23305302815717163
Strep_C10732,0.23305302815717163
Strep_C10733,0.8889223478224411
Strep_C10734,0.23305302815717163
Strep_C10735,0.23305302815717163
Strep_C10736,0.1160600458814914
Strep_C10737,0.1160600458814914
Strep_C10738,0.11634201451864289
Strep_C10739,0.11634201451864289
Strep_C1073,0.99999999
Strep_C10740,0.47311830745470035
Strep_C10741,0.2337017810381666
Strep_C10742,0.7256406595528874
Strep_C10743,0.11634201451864289
Strep_C10744,0.11634201451864289
Strep_C10745,0.11634201451864289
Strep_C10746,0.11634201451864289
Strep_C10747,0.11634201451864289
Strep_C10748,0.5967214293920762
Strep_C10749,0.11634201451864289
Strep_C1074,0.11634201451864289
Strep_C10750,0.4712762061295706
Strep_C10751,0.11634201451864289
Strep_C10752,0.11634201451864289
Strep_C10753,0.11634201451864289
Strep_C10754,0.8524331858472348
